time stamp,penguin x,penguin y
2023年6月30日11時53分19秒0f,0,0
2023年6月30日11時53分19秒1f,0.00176613,0.00176613
2023年6月30日11時53分19秒2f,0.00496055,0.004960552
2023年6月30日11時53分19秒3f,0.00961718,0.00961718
2023年6月30日11時53分19秒4f,0.01604194,0.01604194
2023年6月30日11時53分19秒5f,0.02406029,0.02406029
2023年6月30日11時53分19秒6f,0.03457949,0.03457949
2023年6月30日11時53分19秒7f,0.0469522,0.0469522
2023年6月30日11時53分19秒8f,0.06073004,0.06073004
2023年6月30日11時53分19秒9f,0.07529636,0.07529636
2023年6月30日11時53分19秒10f,0.09162176,0.09162176
2023年6月30日11時53分19秒11f,0.1096527,0.1096527
2023年6月30日11時53分19秒12f,0.1302572,0.1302572
2023年6月30日11時53分19秒13f,0.1529227,0.1529227
2023年6月30日11時53分19秒14f,0.1759769,0.1759769
2023年6月30日11時53分19秒15f,0.2003314,0.2003314
2023年6月30日11時53分19秒16f,0.2264457,0.2264456
2023年6月30日11時53分19秒17f,0.2568395,0.2568395
2023年6月30日11時53分19秒18f,0.2825809,0.2825809
2023年6月30日11時53分19秒19f,0.3157389,0.3157389
2023年6月30日11時53分19秒20f,0.3494347,0.3494347
2023年6月30日11時53分19秒21f,0.3849157,0.3849157
2023年6月30日11時53分19秒22f,0.4216095,0.4216095
2023年6月30日11時53分19秒23f,0.4593111,0.4593111
2023年6月30日11時53分19秒24f,0.50018,0.50018
2023年6月30日11時53分19秒25f,0.5432515,0.5432515
2023年6月30日11時53分19秒26f,0.5852205,0.5852205
2023年6月30日11時53分19秒27f,0.6240092,0.6240092
2023年6月30日11時53分19秒28f,0.6755888,0.6755888
2023年6月30日11時53分19秒29f,0.727321,0.7388171
2023年6月30日11時53分19秒30f,0.7612854,0.7897636
2023年6月30日11時53分19秒31f,0.7961491,0.8545106
2023年6月30日11時53分19秒32f,0.8347716,0.933332
2023年6月30日11時53分19秒33f,0.8666395,1.004436
2023年6月30日11時53分19秒34f,0.8974482,1.079256
2023年6月30日11時53分19秒35f,0.9330426,1.172975
2023年6月30日11時53分19秒36f,0.9669383,1.2694
2023年6月30日11時53分19秒37f,0.9965181,1.360034
2023年6月30日11時53分20秒38f,1.025527,1.455508
2023年6月30日11時53分20秒39f,1.052513,1.550666
2023年6月30日11時53分20秒40f,1.086099,1.67727
2023年6月30日11時53分20秒41f,1.112955,1.785269
2023年6月30日11時53分20秒42f,1.138167,1.893221
2023年6月30日11時53分20秒43f,1.169977,2.037997
2023年6月30日11時53分20秒44f,1.195234,2.159982
2023年6月30日11時53分20秒45f,1.219982,2.286641
2023年6月30日11時53分20秒46f,1.248643,2.441866
2023年6月30日11時53分20秒47f,1.273862,2.586218
2023年6月30日11時53分20秒48f,1.2965,2.722997
2023年6月30日11時53分20秒49f,1.321072,2.879535
2023年6月30日11時53分20秒50f,1.34754,3.057149
2023年6月30日11時53分20秒51f,1.369288,3.210722
2023年6月30日11時53分20秒52f,1.390651,3.369326
2023年6月30日11時53分20秒53f,1.418254,3.584575
2023年6月30日11時53分20秒54f,1.43467,3.718939
2023年6月30日11時53分20秒55f,1.457085,3.911345
2023年6月30日11時53分20秒56f,1.478228,4.101536
2023年6月30日11時53分20秒57f,1.497814,4.286053
2023年6月30日11時53分20秒58f,1.5204,4.508746
2023年6月30日11時53分20秒59f,1.538969,4.700229
2023年6月30日11時53分20秒60f,1.559209,4.9184
2023年6月30日11時53分20秒61f,1.577912,5.129028
2023年6月30日11時53分20秒62f,1.595931,5.340904
2023年6月30日11時53分20秒63f,1.616963,5.598985
2023年6月30日11時53分20秒64f,1.633845,5.815065
2023年6月30日11時53分20秒65f,1.650423,6.036302
2023年6月30日11時53分20秒66f,1.668196,6.283461
2023年6月30日11時53分20秒67f,1.685023,6.527221
2023年6月30日11時53分20秒68f,1.700689,6.754077
2023年6月30日11時53分20秒69f,1.718959,7.029651
2023年6月30日11時53分20秒70f,1.734007,7.26285
2023年6月30日11時53分20秒71f,1.748432,7.492474
2023年6月30日11時53分20秒72f,1.763813,7.740661
2023年6月30日11時53分20秒73f,1.781106,8.027301
2023年6月30日11時53分20秒74f,1.794317,8.24924
2023年6月30日11時53分20秒75f,1.807738,8.480875
2023年6月30日11時53分20秒76f,1.823656,8.759337
2023年6月30日11時53分20秒77f,1.836677,8.99334
2023年6月30日11時53分20秒78f,1.850427,9.24378
2023年6月30日11時53分20秒79f,1.863459,9.487629
2023年6月30日11時53分20秒80f,1.876964,9.743756
